علوم کامپيوتر دانشگاه تهران,72 آزمون کانون در5 سال,303 منطقه 1,469 کشور
مهندسی کامپيوتر علم و صنعت ايران,28 آزمون کانون در1 سال,143 منطقه 2,471 کشور
مهندسی کامپيوتر علم و صنعت ايران,12 آزمون کانون در1 سال,310 منطقه 1,478 کشور
مهندسی مکانيک صنعتی شريف,22 آزمون کانون در1 سال,145 منطقه 2,484 کشور
مهندسی کامپيوتر صنعتی شريف,24 آزمون کانون در1 سال,26 منطقه 3,484 کشور
مهندسی برق دانشگاه تهران,27 آزمون کانون در2 سال,315 منطقه 1,487 کشور
مهندسی کامپيوتر صنعتی اميرکبير,46 آزمون کانون در2 سال,146 منطقه 2,487 کشور
مهندسی کامپيوتر صنعتی اميرکبير,14 آزمون کانون در1 سال,147 منطقه 2,494 کشور
مهندسی برق صنعتی شريف - پرديس خود گردان,21 آزمون کانون در1 سال,322 منطقه 1,496 کشور
مهندسی کامپيوتر علم و صنعت ايران,83 آزمون کانون در2 سال,324 منطقه 1,498 کشور
مهندسی مکانيک صنعتی شريف,12 آزمون کانون در1 سال,324 منطقه 1,498 کشور
مهندسی مکانيک صنعتی شريف,13 آزمون کانون در1 سال,148 منطقه 2,498 کشور
مهندسی مکانيک صنعتی شريف,99 آزمون کانون در3 سال,150 منطقه 2,504 کشور
مهندسی مکانيک صنعتی شريف,216 آزمون کانون در7 سال,333 منطقه 1,511 کشور
مهندسی کامپيوتر علم و صنعت ايران,72 آزمون کانون در3 سال,153 منطقه 2,520 کشور
مهندسی برق صنعتی شريف,27 آزمون کانون در2 سال,155 منطقه 2,524 کشور
مهندسی برق صنعتی شريف,18 آزمون کانون در1 سال,156 منطقه 2,527 کشور
مهندسی کامپيوتر صنعتی اميرکبير,48 آزمون کانون در2 سال,157 منطقه 2,528 کشور
مهندسی مکانيک صنعتی شريف,18 آزمون کانون در1 سال,344 منطقه 1,529 کشور
علوم کامپيوتر صنعتی شريف,62 آزمون کانون در4 سال,29 منطقه 3,531 کشور
مهندسی برق دانشگاه تهران,23 آزمون کانون در1 سال,346 منطقه 1,532 کشور
مهندسی کامپيوتر علم و صنعت ايران,15 آزمون کانون در1 سال,349 منطقه 1,535 کشور
مهندسی برق دانشگاه تهران,34 آزمون کانون در2 سال,349 منطقه 1,535 کشور
